modzcta,borough,neighborhood
10001,Manhattan,Hudson Yards / Herald Sq / Chelsea
10002,Manhattan,Lower East Side
10003,Manhattan,East Village / NoHo / Bowery
10004,Manhattan,The Battery (and Liberty Is)
10005,Manhattan,Wall Street / Pier 11
10006,Manhattan,World Trade Center
10007,Manhattan,City Hall / Civic Ctr / TriBeCa
10009,Manhattan,Alphabet City / Stuyvesant Town
10010,Manhattan,Flatiron District / Gramercy / Peter Cooper Village
10011,Manhattan,Chelsea
10012,Manhattan,SoHo / Greenwich Village
10013,Manhattan,TriBeCa / Little Italy / Chinatown
10014,Manhattan,West Village
10015,Manhattan,NYC - General
10016,Manhattan,Murray Hill / Kip's Bay
10017,Manhattan,Tudor City / Grand Central / UN
10018,Manhattan,Garment District
10019,Manhattan,Hell's Kitchen / Midtown
10020,Manhattan,Rockefeller Ctr / Radio City
10021,Manhattan,The East Side
10022,Manhattan,Midtown East
10023,Manhattan,Lincoln Sq / The West Side
10024,Manhattan,Upper West Side  / Central Park (in the 70s)
10025,Manhattan,Manhattan Valley / Bloomingdale (High W 90s - Low W 100s)
10026,Manhattan,Harlem South (W 110s & Morningside Pk)
10027,Manhattan,Harlem
10028,Manhattan,Yorkville
10029,Manhattan,East (Spanish) Harlem
10030,Manhattan,Strivers' Row (High W 130s - Low W 140s)
10031,Manhattan,Hamilton Hts / City College / Sugar Hill
10032,Manhattan,Washington Heights
10033,Manhattan,George Washington Br (and The Apartment Bldgs) / Hudson Hts
10034,Manhattan,Inwood
10035,Manhattan,Harlem (in the E 120s) / Randall's Is
10036,Manhattan,Midtown-Times Sq / Theater-Diamond Dists
10037,Manhattan,Harlem (in the High E 130s - Low E 140s)
10038,Manhattan,Financial Dist / South St Seaport / Brooklyn Br
10039,Manhattan,Harlem (in the High E 140s - Low E 150s)
10040,Manhattan,Fort George
10041,Manhattan,Lower Manhattan
10044,Manhattan,Roosevelt Island
10045,Manhattan,Financial Dist / Maiden Ln
10048,Manhattan,NYC - General
10055,Manhattan,Midtown East / E 50s
10060,Manhattan,Penn Plaza
10065,Manhattan,Lenox Hill
10069,Manhattan,Riverside Park South
10075,Manhattan,Upper East Side
10090,Manhattan,Lower Manhattan / Cortlandt St
10095,Manhattan,Penn Plaza
10098,Manhattan,NYC - General
10099,Manhattan,NYC - General
10103,Manhattan,Midtown East / E 50s
10104,Manhattan,5 - 6 Avs / W 51 - 52 Sts
10105,Manhattan,6 - 7 Avs / W 54 - 55 Sts
10106,Manhattan,Broadway - 7 Av / W 56 - 57 Sts
10107,Manhattan,Broadway - 8 Av / W 56 - 57 Sts
10110,Manhattan,Bryant Park
10111,Manhattan,Rockefeller Plaza
10112,Manhattan,GE Building
10115,Manhattan,The Interchurch Center (Riverside Dr / W 120 St)
10118,Manhattan,Koreatown
10119,Manhattan,Penn Station
10120,Manhattan,Herald Square / 6 - 7 Avs / W 33 - 34 Sts
10121,Manhattan,Madison Square Garden
10122,Manhattan,One Penn Plaza
10123,Manhattan,7 - 8 Avs / W 34 - 35 Sts
10128,Manhattan,Carnegie Hill
10151,Manhattan,5 Av / 57 St
10152,Manhattan,Seagram Building / Park Av
10153,Manhattan,Grand Army Plaza
10154,Manhattan,Lexington - Park Avs / E 51 - 52 Sts
10155,Manhattan,3 - Lexington Avs / E 57 - 58 Sts
10158,Manhattan,3 Av / High E 30s
10161,Manhattan,Lower Manhattan / Cortlandt St
10162,Manhattan,John Jay Park / High E 70s
10165,Manhattan,Park - Madison Avs / E 41 - 42 Sts
10166,Manhattan,MetLife / Helmsey Bldgs
10167,Manhattan,Lexington - Park Avs / E 46 - 47 Sts
10168,Manhattan,Lexington - Park Avs / E 41 - 42 Sts
10169,Manhattan,Helmsey Building
10170,Manhattan,Grand Hyatt / Grand Central Terminal
10171,Manhattan,Waldorf Astoria
10172,Manhattan,"Midtown (Park Av, mid E 40s)"
10173,Manhattan,Madison - 5 Avs / E 43 - 44 Sts
10174,Manhattan,Chrystler Building
10175,Manhattan,Madison - 5 Avs / E 43 - 44 Sts
10176,Manhattan,Madison - 5 Avs / E 45 - 46 Sts
10177,Manhattan,Helmsey Building
10178,Manhattan,Park Av / E 40s
10199,Manhattan,Main (Farley) Post Office
10270,Manhattan,Lower Manhattan / South St
10271,Manhattan,Trinity Church
10278,Manhattan,Jacob K. Javits Federal Bldg
10279,Manhattan,City Hall Park
10280,Manhattan,Battery Park City
10281,Manhattan,World Financial Center
10282,Manhattan,Battery Park City / Rockefeller Park
10301,Staten Island,St. George / New Brighton / Brighton Hts / Silver Lake / Sunnyside
10302,Staten Island,Elm Park
10303,Staten Island,Mariners' Harbor / Arlington / Old Place
10304,Staten Island,Todt Hill / The Hills / Clifton / Tompkinsville
10305,Staten Island,Dongan Hills / Arrochar / Rosebank / Fort Wadsworth
10306,Staten Island,New Dorp / Great Kills / Richmond / Midland Beach
10307,Staten Island,Tottenville
10308,Staten Island,Great Kills
